50,161578
50,113422
50,95342
50,101200
50,81857
50,160983
50,83017
50,122688
50,110307
50,106054
100,73929
100,70802
100,75749
100,61209
100,63766
100,56165
100,69213
100,79725
100,66742
100,52978
200,41169
200,38826
200,40407
200,39035
200,28985
200,40840
200,43045
200,41596
200,43648
200,29838
300,30971
300,34349
300,29720
300,23254
300,24633
300,23515
300,47022
300,31828
300,36055
400,21711
400,21084
400,19969
400,20944
400,20813
400,20920
400,22788
400,20853
400,20818
500,19351
500,18488
500,19015
500,18212
500,19044
500,18704
500,18248
500,18505
500,19955
500,17587
600,16949
600,17432
600,17770
600,17532
600,17685
600,17485
600,17448
600,17329
600,17152
600,18515
700,16080
700,15582
700,15720
700,16478
700,15162
700,15540
700,15435
700,15617
700,15256
700,15998
800,16267
800,15069
800,15353
800,15447
800,15600
800,15510
800,15995
800,15706
800,15406
800,16400
900,15779
900,15071
900,14395
900,15476
900,14504
900,14784
900,15388
900,14586
900,14300
900,14677
1000,14329
1000,14057
1000,14470
1000,14260
1000,13644
1000,13423
1000,15229
1000,14553
1000,14066
1000,14608
1100,15617
1100,14521
1100,13586
1100,14293
1100,14243
1100,14664
1100,14882
1100,14448
1100,14565
1100,14273
1200,13660
1200,13837
1200,14524
1200,13817
1200,13766
1200,13607
1200,13775
1200,13892
1200,13845
1200,13704
1300,13853
1300,13342
1300,13499
1300,13700
1300,13117
1300,13577
1300,13939
1300,13318
1300,14974
1400,13612
1400,14039
1400,13561
1400,13379
1400,13254
1400,13940
1400,13878
1400,15775
1400,13702
1400,13432
1500,13975
1500,13543
1500,12806
1500,13435
1500,14252
1500,13591
1500,13662
1500,14601
1500,14256
1500,13415
1600,13711
1600,13499
1600,13275
1600,13456
1600,14737
1600,13951
1600,13288
1600,14269
1600,13402
1600,14602
3200,16784
3200,16906
3200,17289
3200,15645
3200,15592
3200,16474
3200,15696
3200,23411
3200,15557
3200,16212
6400,29855
6400,23070
6400,23291
6400,22551
6400,23543
6400,24051
6400,24120
6400,24794
6400,35323
6400,22460
